	2015	2016	2017	2018	2019	2020	2021	2022	2023
ABC Corporation	750000	800000	850000	900000	950000	900000	1050000	1100000	1150000
XYZ Industries	450000	480000	510000	540000	570000	550000	630000	700000	690000
Acme Corp	1050000	1010000	1190000	1260000	1330000	162000	1470000	1490000	1610000
Global Ventures	675000	720000	765000	810000	855000	900000	945000	970000	1035000
Tech Innovators	900000	960000	1020000	1080000	1140000	1200000	1260000	1320000	1310000
Mega Solutions	1200000	1280000	1360000	1440000	1520000	1950000	1680000	1660000	1840000
Bright Industrie	525000	560000	595000	630000	665000	700000	690000	850000	805000
Star Enterprises	825000	880000	835000	1310000	1045000	1100000	1155000	1270000	1265000
Future Systems	600000	640000	680000	720000	760000	800000	840000	855500	920000
Quantum Corp	975000	1040000	1105000	1170000	1235000	1300000	1365000	1430000	1495150
