Vonat kódja	Indulás dátuma	Indulás ideje	Érkezés dátuma	Érkezés ideje	Utazók száma	Ár (HUF)	Késés (perc)
K8329J7L	2023/ 11/ 10.	8:45	2023/ 11/ 10.	12:15	120	2331	30
P0D3F2S1	2023/ 11/ 11.	10:20	2023/ 11/ 11.	15:00	75	2463	
X3Z4W7O9	2023/ 11/ 11.	13:20	2023/ 11/ 11.	18:05	82	999	15
A47B9N0X	2023/ 11/ 11.	14:30	2023/ 11/ 11.	18:45	88	1722	
H9U1N4G7	2023/ 11/ 12.	7:55	2023/ 11/ 12.	11:30	110	1190	
R5S3T9V8	2023/ 11/ 12.	20:30	2023/ 11/ 13.	9:30	78	2616	90
R6T9Y2Z4	2023/ 11/ 13.	12:15	2023/ 11/ 13.	16:30	104	874	60
V5Q8K3M7	2023/ 11/ 14.	16:50	2023/ 11/ 14.	20:20	63	2235	30
T1J8C0B6	2023/ 11/ 15.	11:30	2023/ 11/ 15.	15:45	96	2828	
G2H6P9U8	2023/ 11/ 15.	19:05	2023/ 11/ 16.	8:00	89	736	15
L7I4E8T5	2023/ 11/ 16.	15:40	2023/ 11/ 16.	19:55	75	2747	
D2F8W7K6	2023/ 11/ 21.	17:15	2023/ 11/ 21.	21:40	94	1750	20
N1M7L4T6	2023/ 11/ 22.	13:55	2023/ 11/ 22.	18:20	102	1076	20
R5S3T9V8	2023/ 11/ 22.	23:30	2023/ 11/ 23.	1:30	56	1000	15
B4C3V9X5	2023/ 11/ 23.	9:40	2023/ 11/ 23.	14:05	87	1030	30
Q9R5Z2P4	2023/ 11/ 24.	16:15	2023/ 11/ 25.	10:00	68	2381	
L8I5E6T7	2023/ 11/ 25.	16:05	2023/ 11/ 25.	20:30	92	2214	
U3G7H6P2	2023/ 11/ 26.	10:45	2023/ 11/ 26.	15:10	80	673	
L7I4E8T5	2023/ 11/ 26.	11:45	2023/ 11/ 26.	15:35	103	785	
Z4J7K6L1	2023/ 11/ 27.	11:20	2023/ 11/ 27.	15:35	105	529	10
