Arany Pénzintézet, IRL,251.8,249.7,252.4,250.9,252.1,251.8,249.7,252.9,250.6,252.9,251.2,249.3,251.5,249.7,252.4,251.8,251.2,251.8,252.9,251.8
Csillagos Bank, IRL,389.1,388,390.2,388.7,389.6,389.1,388,390.8,388.2,390.8,389,390.3,388.6,388,390.2,389.1,389,389.1,390.8,389.1
Üdvözlet Bank, IRB,517.2,516.1,518.6,516.8,518.1,517.2,516.1,519.2,516.6,519.2,518.8,516.5,519,516.1,518.6,517.2,518.8,517.2,519.2,517.2
Mesevilág Bank, IRL,633.4,632,634.9,632.6,634.2,633.4,632,635.1,632.4,635.1,635.2,631.9,634.7,632,634.9,633.4,635.2,633.4,635.1,633.4
Mesevilág Bank, IRB,517.2,516.1,518.6,516.8,518.1,517.2,516.1,519.2,516.6,519.2,518.8,516.5,519,516.1,518.6,517.2,518.8,517.2,519.2,517.2
Rejtélyes Bank, IRL,318.5,317.3,319.2,317.9,318.7,318.5,317.3,319.4,316.8,319.4,317.6,318.9,319.5,317.3,319.2,318.5,317.6,318.5,319.4,318.5
Csoda Pénzintézet, IRB,389.1,388,390.2,388.7,389.6,389.1,388,390.8,388.2,390.8,389,390.3,388.6,388,390.2,389.1,389,389.1,390.8,389.1
Út Bank, IRL,389.1,388,390.2,388.7,389.6,389.1,388,390.8,388.2,390.8,389,390.3,388.6,388,390.2,389.1,389,389.1,390.8,389.1
Arany Pénzintézet, IRB,318.5,317.3,319.2,317.9,318.7,318.5,317.3,319.4,316.8,319.4,317.6,318.9,319.5,317.3,319.2,318.5,317.6,318.5,319.4,318.5
Zöld Pénzügyi Bt., IRB,389.1,388,390.2,388.7,389.6,389.1,388,390.8,388.2,390.8,389,390.3,388.6,388,390.2,389.1,389,389.1,390.8,389.1
Zöld Pénzügyi Bt., IRL,517.2,516.1,518.6,516.8,518.1,517.2,516.1,519.2,516.6,519.2,518.8,516.5,519,516.1,518.6,517.2,518.8,517.2,519.2,517.2
Csillagos Bank, IRB,251.8,249.7,252.4,250.9,252.1,251.8,249.7,252.9,250.6,252.9,251.2,249.3,251.5,249.7,252.4,251.8,251.2,251.8,252.9,251.8
Üdvözlet Bank, IRL,633.4,632,634.9,632.6,634.2,633.4,632,635.1,632.4,635.1,635.2,631.9,634.7,632,634.9,633.4,635.2,633.4,635.1,633.4
Álom Bank, IRB,318.5,317.3,319.2,317.9,318.7,318.5,317.3,319.4,316.8,319.4,317.6,318.9,319.5,317.3,319.2,318.5,317.6,318.5,319.4,318.5
Gondolat Bank, IRB,633.4,632,634.9,632.6,634.2,633.4,632,635.1,632.4,635.1,635.2,631.9,634.7,632,634.9,633.4,635.2,633.4,635.1,633.4
Gondolat Bank, IRL,318.5,317.3,319.2,317.9,318.7,318.5,317.3,319.4,316.8,319.4,317.6,318.9,319.5,317.3,319.2,318.5,317.6,318.5,319.4,318.5
Csoda Pénzintézet, IRL,517.2,516.1,518.6,516.8,518.1,517.2,516.1,519.2,516.6,519.2,518.8,516.5,519,516.1,518.6,517.2,518.8,517.2,519.2,517.2
Rejtélyes Bank, IRB,633.4,632,634.9,632.6,634.2,633.4,632,635.1,632.4,635.1,635.2,631.9,634.7,632,634.9,633.4,635.2,633.4,635.1,633.4
Út Bank, IRB,251.8,249.7,252.4,250.9,252.1,251.8,249.7,252.9,250.6,252.9,251.2,249.3,251.5,249.7,252.4,251.8,251.2,251.8,252.9,251.8
Álom Bank, IRL,251.8,249.7,252.4,250.9,252.1,252.1,249.7,252.9,250.6,252.9,251.2,249.3,251.5,249.7,252.4,251.8,251.2,251.8,252.9,251.8
