ID	ingatlanID	tulajID	mettol	meddig
1	54	11	2005	2020
2	22	8	2009	2014
3	4	15	2006	2013
4	9	22	2009	2016
5	27	12	2005	2011
6	35	17	2003	2013
7	19	20	2010	2017
8	81	34	2009	2015
9	71	45	2005	2014
10	92	5	2001	2019
11	21	21	2004	2013
12	76	44	2004	2016
13	72	26	2003	2016
14	19	13	2003	2015
15	6	2	2009	2012
16	76	26	2010	2015
17	40	20	2004	2015
18	56	30	2003	2013
19	58	15	2010	2015
20	4	18	2007	2019
21	29	8	2000	2018
22	41	23	2003	2019
23	5	5	2007	2016
24	34	41	2006	2015
25	9	49	2009	2016
26	67	24	2008	2011
27	90	34	2008	2018
28	23	24	2003	2016
29	5	31	2007	2014
30	50	45	2010	2014
31	77	8	2007	2015
32	58	14	2004	2013
33	21	11	2000	2016
34	99	48	2005	2015
35	97	36	2005	2015
36	27	43	2005	2012
37	11	43	2003	2019
38	30	3	2007	2020
39	95	45	2008	2015
40	16	50	2001	2017
41	11	25	2000	2017
42	43	49	2003	2018
43	90	28	2007	2019
44	57	18	2008	2013
45	99	41	2006	2017
46	38	36	2007	2018
47	69	11	2001	2016
48	19	36	2009	2011
49	4	39	2003	2018
50	1	2	2006	2018
51	76	36	2001	2016
52	54	47	2006	2015
53	89	40	2008	2014
54	94	6	2002	2011
55	6	27	2008	2015
56	96	29	2003	2017
57	53	11	2002	2017
58	21	49	2010	2011
59	67	26	2000	2020
60	4	41	2002	2013
61	92	45	2010	2012
62	95	24	2009	2016
63	70	27	2003	2019
64	19	39	2000	2011
65	13	47	2008	2012
66	27	15	2010	2014
67	54	2	2005	2018
68	7	39	2009	2011
69	1	12	2010	2015
70	95	35	2005	2011
71	2	27	2001	2014
72	27	7	2002	2019
73	25	32	2004	2011
74	53	15	2008	2016
75	3	12	2002	2019
76	66	47	2000	2019
77	64	39	2007	2015
78	10	25	2007	2019
79	73	20	2002	2015
80	83	2	2000	2012
81	67	44	2009	2016
82	2	1	2007	2017
83	87	7	2000	2019
84	82	9	2010	2012
85	37	35	2000	2018
86	90	46	2003	2013
87	22	50	2007	2014
88	94	24	2006	2014
89	1	32	2004	2014
90	97	25	2002	2014
91	96	36	2003	2019
92	95	16	2004	2012
93	95	25	2004	2014
94	70	16	2010	2017
95	71	15	2000	2020
96	56	24	2004	2013
97	25	16	2003	2011
98	7	25	2002	2013
99	74	37	2001	2018
100	84	48	2005	2014
101	100	29	2005	2018
102	100	19	2003	2019
103	42	39	2009	2012
104	34	18	2002	2016
105	26	31	2006	2013
106	62	8	2004	2014
107	57	20	2003	2013
108	76	1	2001	2019
109	73	25	2007	2020
110	98	8	2001	2020
111	87	44	2004	2018
112	77	3	2010	2011
113	37	23	2002	2015
114	40	16	2006	2020
115	25	50	2009	2014
116	23	19	2001	2013
117	86	50	2005	2013
118	57	38	2000	2017
119	67	27	2000	2011
120	58	50	2002	2016
121	57	10	2010	2016
122	58	32	2007	2019
123	44	21	2006	2020
124	37	45	2003	2020
125	33	17	2004	2019
126	41	47	2009	2016
127	64	31	2004	2015
128	58	43	2003	2014
129	95	50	2009	2018
130	84	50	2005	2011
131	46	19	2005	2017
132	72	47	2007	2011
133	49	45	2002	2012
134	29	21	2001	2019
135	76	20	2004	2013
136	14	23	2005	2015
137	67	40	2010	2020
138	40	17	2002	2015
139	3	12	2009	2014
140	96	32	2001	2018
141	11	20	2005	2014
142	96	17	2009	2020
143	43	19	2001	2019
144	95	44	2000	2017
145	36	17	2009	2016
146	4	33	2006	2011
147	2	20	2004	2013
148	26	45	2010	2012
149	45	21	2001	2019
150	65	12	2000	2013
151	74	2	2010	2014
152	50	1	2002	2013
153	11	14	2002	2012
154	36	41	2007	2015
155	98	19	2010	2020
156	89	46	2004	2014
157	7	19	2000	2017
158	10	29	2005	2012
159	90	14	2009	2018
160	61	14	2000	2011
161	78	34	2006	2015
162	24	42	2008	2018
163	55	18	2005	2019
164	95	1	2008	2019
165	6	26	2008	2011
166	44	43	2000	2018
167	42	43	2001	2012
168	71	27	2010	2017
169	47	42	2000	2012
170	68	22	2002	2018
171	8	3	2000	2014
172	42	24	2001	2014
173	26	38	2001	2018
174	25	28	2008	2016
175	59	50	2008	2014
176	75	28	2008	2017
177	84	34	2005	2012
178	98	27	2009	2013
179	87	44	2003	2012
180	85	34	2009	2014
181	74	21	2006	2019
182	75	41	2004	2018
183	17	24	2004	2014
184	45	45	2010	2015
185	84	43	2007	2018
186	82	41	2004	2015
187	9	48	2010	2013
188	60	46	2009	2012
189	85	14	2006	2017
190	31	5	2009	2017
191	12	36	2000	2012
192	83	13	2005	2015
193	68	15	2003	2020
194	31	21	2010	2018
195	27	3	2002	2011
196	80	14	2002	2018
197	7	18	2000	2012
198	85	5	2010	2011
199	96	48	2010	2017
200	41	21	2000	2011
201	9	6	2010	2020
202	32	12	2004	2015
203	41	50	2003	2018
204	79	3	2008	2018
205	32	27	2007	2017
206	78	38	2000	2014
207	40	50	2001	2015
208	11	18	2005	2014
209	80	48	2005	2012
210	96	9	2001	2015
211	91	27	2007	2018
212	10	17	2001	2015
213	30	3	2001	2012
214	87	15	2002	2011
215	86	45	2008	2016
216	62	36	2002	2011
217	74	49	2004	2018
218	52	2	2004	2017
219	48	23	2007	2016
220	94	28	2004	2020
221	81	2	2010	2013
222	22	3	2008	2011
223	16	45	2005	2020
224	52	22	2010	2016
225	63	3	2005	2013
226	48	37	2008	2013
227	9	21	2003	2012
228	90	9	2010	2019
229	93	38	2003	2016
230	65	32	2004	2017
231	51	33	2004	2014
232	83	47	2003	2015
233	73	33	2001	2011
234	40	41	2007	2020
235	25	17	2007	2013
236	56	35	2009	2017
237	22	24	2001	2012
238	34	5	2002	2020
239	36	49	2000	2017
240	32	15	2007	2012
241	16	7	2008	2020
242	29	16	2007	2018
243	55	12	2001	2014
244	22	38	2002	2014
245	20	18	2004	2014
246	58	31	2002	2011
247	10	30	2010	2013
248	14	39	2005	2020
249	66	17	2009	2020
250	45	9	2008	2018
251	4	36	2005	2011
252	71	26	2006	2011
253	5	16	2002	2013
254	18	25	2007	2015
255	38	23	2006	2013
256	90	10	2002	2014
257	42	1	2003	2014
258	23	41	2004	2016
259	70	39	2001	2014
260	26	46	2002	2012
261	83	15	2002	2015
262	29	26	2007	2015
263	55	49	2003	2017
264	30	38	2010	2011
265	55	33	2004	2011
266	5	50	2000	2012
267	16	11	2009	2012
268	58	49	2001	2019
269	5	18	2004	2013
270	2	46	2008	2014
271	31	16	2007	2014
272	50	6	2002	2018
273	99	17	2009	2014
274	23	15	2005	2011
275	40	34	2009	2011
276	67	21	2002	2018
277	89	41	2007	2015
278	60	37	2010	2011
279	80	39	2005	2019
280	90	33	2010	2017
281	89	40	2009	2015
282	7	27	2007	2014
283	27	42	2003	2020
284	8	25	2008	2015
285	6	2	2004	2012
286	96	25	2002	2019
287	58	30	2005	2013
288	65	31	2010	2015
289	15	29	2006	2014
290	8	4	2010	2020
291	32	19	2008	2016
292	30	6	2005	2012
293	18	48	2010	2017
294	64	28	2004	2020
295	78	23	2005	2019
296	10	6	2005	2011
297	20	44	2002	2020
298	38	49	2006	2016
299	22	22	2005	2016
300	8	50	2005	2017
301	35	46	2009	2013
302	44	37	2004	2011
303	5	27	2006	2012
304	10	4	2007	2017
305	25	45	2007	2015
306	73	19	2009	2020
307	85	36	2008	2012
308	75	16	2010	2013
309	4	10	2010	2016
310	13	21	2007	2018
311	56	45	2002	2013
312	56	44	2005	2016
313	46	5	2001	2014
314	87	35	2004	2012
315	91	46	2009	2012
316	76	33	2008	2012
317	59	48	2003	2011
318	50	31	2007	2019
319	2	15	2000	2015
320	18	23	2003	2013
321	31	7	2009	2018
322	40	12	2006	2011
323	38	34	2000	2017
324	43	24	2009	2018
325	41	44	2004	2012
326	40	4	2008	2015
327	26	26	2008	2013
328	16	18	2004	2016
329	53	20	2005	2016
330	76	35	2008	2014
331	67	3	2006	2015
332	34	29	2000	2018
333	74	8	2001	2018
334	70	31	2010	2018
335	66	31	2005	2013
336	18	40	2003	2016
337	61	48	2006	2017
338	41	6	2010	2020
339	100	5	2004	2020
340	45	31	2002	2013
341	65	39	2002	2012
342	77	1	2009	2018
343	76	15	2004	2016
344	23	46	2009	2016
345	14	1	2000	2019
346	22	24	2005	2013
347	61	32	2000	2016
348	97	22	2000	2020
349	79	23	2009	2020
350	93	32	2000	2018
351	65	4	2000	2018
352	42	48	2001	2017
353	71	23	2010	2020
354	7	13	2000	2018
355	8	27	2002	2018
356	91	24	2008	2016
357	22	49	2003	2011
358	75	11	2005	2016
