rendszam	tipus	szin	motortipusID	tulajID	uzembehelyezeseve
RWL-700	Nissan	citromsárga	30	308	2000
NRU-610	Renault	fehér	3	480	2022
KWC-693	Volvo	narancs	29	166	2021
MQE-234	Volvo	narancs	27	376	2016
JUG-537	Opel	kék	14	484	2008
SBI-690	Dacia	fekete	24	291	2021
LVF-163	Toyota	citromsárga	26	587	1996
LLP-848	Suzuki	arany	22	407	1995
HCF-260	Nissan	kék	23	39	2016
ZNM-768	Subaru	barna	2	240	2011
SRD-876	Seat	barna	22	150	1999
JNF-673	Peugeot	kék	29	401	2010
KMU-154	Renault	ezüst	14	430	2018
QAE-053	Honda	fehér	30	53	2022
RZY-809	Seat	narancs	27	442	1996
ZGD-941	Porsche	barna	27	183	2022
UVR-064	Suzuki	arany	1	164	2006
RRZ-175	Skoda	arany	18	369	2012
VDT-699	Porsche	fehér	7	333	2008
HFH-171	Honda	citromsárga	16	456	2010
VPH-361	Honda	citromsárga	28	392	2023
QQU-881	Opel	lila	4	165	2022
TWA-335	Subaru	barna	27	368	1995
FOX-104	Volkswagen	narancs	11	309	2012
FDE-446	Dacia	rózsaszín	8	396	2001
YJS-664	Suzuki	fehér	25	342	2015
MJM-858	Seat	narancs	25	145	1998
ZTP-345	Ford	zöld	26	617	2021
BMI-213	Renault	rózsaszín	23	171	2001
FTY-940	Peugeot	piros	22	372	2009
STN-837	Renault	lila	4	16	2001
VNN-483	Volvo	kék	20	490	2018
TNU-652	Peugeot	zöld	7	209	2012
DYJ-907	Nissan	rózsaszín	6	290	2010
GRS-319	Nissan	szürke	28	159	2012
OIX-860	Ford	szürke	28	370	1997
HHU-095	Subaru	narancs	6	550	2007
SCP-778	Renault	piros	16	280	2015
DXK-417	Porsche	szürke	7	476	2001
YWW-425	Volkswagen	szürke	12	578	2019
MTA-805	BMW	narancs	9	601	2011
NQQ-285	Subaru	szürke	3	4	2014
EVK-549	Suzuki	citromsárga	16	445	2013
DJC-527	BMW	piros	21	89	2016
YIG-084	Nissan	ezüst	25	399	2019
XDU-079	Volvo	rózsaszín	27	642	2017
ECY-449	BMW	barna	17	439	2009
ZUP-972	Skoda	narancs	27	495	2021
DSV-058	Suzuki	barna	3	422	2022
QNO-111	Volkswagen	kék	29	617	2015
FUS-764	Ford	lila	26	37	1999
WOR-342	BMW	barna	9	122	2021
XQY-755	Nissan	barna	9	448	2001
NMW-678	Renault	citromsárga	6	56	2011
EMT-388	Nissan	barna	16	517	2019
EUD-373	Seat	lila	1	610	2022
YJE-302	Ford	fekete	5	529	2018
CAQ-303	Volvo	szürke	22	517	1996
AYL-867	BMW	lila	30	536	2021
CSH-692	Ford	citromsárga	21	59	2006
TNP-893	Peugeot	zöld	3	14	1998
ZJX-689	Porsche	bordó	17	588	1995
ZKA-562	Volvo	kék	24	523	2002
OIG-108	Volvo	bordó	18	553	2015
IKQ-560	Peugeot	piros	12	192	2020
SPY-248	Volvo	narancs	9	490	2014
WBU-440	Nissan	fekete	19	523	2012
VFQ-596	Seat	kék	25	37	1996
DQG-649	Subaru	barna	15	41	2023
BIE-223	Ford	ezüst	30	45	2010
VTG-556	Renault	citromsárga	19	610	2023
FED-691	Seat	rózsaszín	29	80	1996
NVH-761	Nissan	kék	15	103	2003
NRY-639	Toyota	szürke	19	385	2002
IGQ-359	Skoda	citromsárga	2	190	1996
YIY-513	Renault	lila	18	250	1995
HWF-036	Ford	bordó	27	155	2006
XBR-179	BMW	barna	7	28	2009
QRA-628	Seat	kék	29	359	2013
KXI-813	Volkswagen	kék	22	487	2008
GMN-945	Skoda	arany	28	544	1998
YLF-880	Dacia	lila	3	273	2004
VJC-418	Dacia	fekete	23	259	2000
IBJ-074	Suzuki	arany	13	422	1997
FYF-419	Volvo	arany	10	624	2016
UZH-137	Porsche	kék	7	88	2007
ZBJ-580	Peugeot	fekete	20	147	2000
XKL-324	Honda	fehér	24	604	2022
QWM-224	Volkswagen	lila	16	135	1998
KYV-909	Volkswagen	arany	12	626	2006
HTC-276	Peugeot	lila	19	557	2019
HXA-109	Honda	zöld	30	12	2018
XJX-931	Suzuki	citromsárga	10	315	2021
FMK-043	Nissan	lila	11	294	2023
WIR-207	BMW	piros	14	10	2008
