id	termekid	mennyiseg	ar	megrendelesid
1	7	14	2260	95
2	31	12	3456	57
3	55	10	419	9
4	50	11	1848	13
5	5	9	2558	73
6	31	2	3456	6
7	51	6	1148	29
8	16	19	2693	21
9	19	19	3205	54
10	6	1	3107	50
11	44	2	914	83
12	21	10	3391	50
13	42	20	1271	64
14	11	12	951	41
15	16	7	2693	97
16	3	12	879	92
17	46	4	755	69
18	55	13	419	10
19	22	9	1196	26
20	8	2	3054	68
21	9	15	2961	27
22	43	8	291	50
23	55	17	419	91
24	8	15	3054	97
25	52	10	671	2
26	25	6	2775	52
27	32	7	1376	65
28	43	11	291	93
29	27	2	2680	49
30	29	6	2793	55
31	32	12	1376	8
32	16	9	2693	23
33	26	4	1675	92
34	34	4	327	72
35	28	6	218	61
36	54	6	206	54
37	9	11	2961	58
38	22	19	1196	3
39	11	4	951	22
40	30	12	1120	79
41	50	17	1848	84
42	48	11	3178	64
43	42	18	1271	71
44	38	12	2858	95
45	45	8	2800	46
46	28	13	218	8
47	33	3	2272	73
48	40	8	3234	29
49	14	14	1283	47
50	33	15	2272	22
51	50	16	1848	80
52	40	16	3234	73
53	27	16	2680	22
54	26	6	1675	81
55	37	16	3008	100
56	5	5	2558	68
57	25	6	2775	32
58	20	18	2821	87
59	1	2	3146	16
60	12	9	1146	7
61	5	18	2558	50
62	4	16	2232	45
63	1	3	3146	54
64	29	3	2793	96
65	34	9	327	67
66	18	9	3392	11
67	21	2	3391	58
68	42	19	1271	8
69	29	11	2793	38
70	36	11	2932	38
71	14	20	1283	23
72	30	10	1120	65
73	43	4	291	94
74	39	5	2889	98
75	51	13	1148	83
76	18	1	3392	97
77	9	20	2961	9
78	25	16	2775	92
79	17	16	1991	99
80	25	6	2775	26
81	55	9	419	31
82	15	13	1223	27
83	47	10	1492	30
84	34	5	327	23
85	23	13	1017	52
86	31	4	3456	27
87	54	16	206	8
88	42	14	1271	14
89	50	4	1848	75
90	33	5	2272	62
91	13	18	1757	64
92	54	2	206	12
93	3	14	879	84
94	13	6	1757	65
95	26	17	1675	84
96	18	17	3392	18
97	5	18	2558	67
98	27	15	2680	20
99	34	3	327	5
100	19	11	3205	87
101	33	3	2272	15
102	22	18	1196	25
103	46	13	755	76
104	35	1	2245	74
105	37	20	3008	5
106	34	10	327	4
107	23	4	1017	51
108	21	12	3391	35
109	44	9	914	32
110	31	5	3456	96
111	34	6	327	42
112	16	19	2693	69
113	8	18	3054	74
114	6	7	3107	37
115	16	7	2693	90
116	10	5	1168	58
117	22	3	1196	63
118	36	19	2932	62
119	44	4	914	37
120	16	5	2693	3
121	30	13	1120	8
122	18	3	3392	16
123	10	14	1168	47
124	45	7	2800	4
125	21	19	3391	52
126	45	8	2800	80
127	31	17	3456	75
128	31	1	3456	2
129	14	8	1283	100
130	32	20	1376	95
131	27	17	2680	13
132	4	12	2232	22
133	23	17	1017	73
134	42	17	1271	90
135	30	8	1120	66
136	45	13	2800	75
137	14	19	1283	60
138	4	15	2232	77
139	48	19	3178	100
140	34	15	327	30
141	37	16	3008	77
142	40	12	3234	92
143	40	14	3234	64
144	18	20	3392	44
145	33	3	2272	14
146	44	13	914	10
147	30	14	1120	99
148	44	10	914	99
149	2	20	3022	59
150	42	10	1271	99
151	2	5	3022	38
152	30	14	1120	25
153	17	20	1991	18
154	34	3	327	9
155	45	10	2800	40
156	5	19	2558	97
157	46	18	755	42
158	29	14	2793	28
159	14	7	1283	71
160	9	17	2961	52
161	34	17	327	97
162	29	12	2793	5
163	48	9	3178	62
164	31	15	3456	99
165	17	12	1991	71
166	26	6	1675	52
167	8	13	3054	64
168	15	12	1223	74
169	44	6	914	78
170	32	20	1376	39
171	18	7	3392	4
172	25	1	2775	88
173	27	3	2680	32
174	10	10	1168	54
175	26	15	1675	37
176	31	2	3456	93
177	10	20	1168	97
178	46	17	755	37
179	32	11	1376	44
180	9	8	2961	8
181	2	12	3022	77
182	27	2	2680	6
183	55	8	419	76
184	9	17	2961	11
185	46	2	755	80
186	38	3	2858	83
187	27	18	2680	59
188	46	5	755	12
189	49	18	1325	45
190	9	20	2961	58
191	26	1	1675	15
192	27	14	2680	57
193	48	12	3178	50
194	42	20	1271	8
195	25	20	2775	82
196	29	10	2793	49
197	14	18	1283	24
198	43	16	291	18
199	17	20	1991	25
200	20	8	2821	58
201	20	18	2821	6
202	42	16	1271	43
203	22	7	1196	56
204	32	1	1376	41
205	40	12	3234	54
206	23	16	1017	47
207	22	18	1196	84
208	34	1	327	22
209	23	12	1017	49
210	39	19	2889	19
211	48	9	3178	100
212	38	9	2858	72
213	17	2	1991	76
214	37	5	3008	81
215	14	12	1283	18
216	17	17	1991	60
217	34	6	327	86
218	1	15	3146	14
219	33	13	2272	27
220	2	16	3022	71
221	23	7	1017	80
222	11	5	951	16
223	6	9	3107	27
224	48	4	3178	8
225	55	18	419	9
226	45	17	2800	93
227	8	12	3054	17
228	39	1	2889	78
229	3	15	879	86
230	42	12	1271	70
231	31	6	3456	72
232	5	2	2558	44
233	48	9	3178	49
234	34	4	327	2
235	20	19	2821	94
236	44	6	914	69
237	27	5	2680	28
238	17	6	1991	80
239	46	19	755	22
240	17	13	1991	24
241	14	6	1283	32
242	22	10	1196	38
243	50	14	1848	95
244	15	4	1223	43
245	41	19	306	44
246	2	3	3022	98
247	37	3	3008	55
248	51	16	1148	87
249	38	14	2858	22
250	6	6	3107	27
251	43	19	291	58
252	31	20	3456	44
253	18	14	3392	83
254	13	7	1757	24
255	55	5	419	82
256	55	17	419	74
257	8	16	3054	34
258	11	13	951	65
259	47	9	1492	100
260	8	5	3054	43
261	33	6	2272	2
262	31	8	3456	66
263	2	7	3022	35
264	17	8	1991	49
265	14	13	1283	98
266	8	5	3054	35
267	45	7	2800	11
268	3	12	879	29
269	9	4	2961	66
270	38	11	2858	88
271	29	14	2793	25
272	3	4	879	66
273	47	13	1492	12
274	25	14	2775	81
275	17	1	1991	15
276	51	13	1148	32
277	10	7	1168	21
278	51	10	1148	60
279	13	15	1757	69
280	21	20	3391	24
281	17	7	1991	16
282	17	1	1991	6
283	21	5	3391	77
284	31	19	3456	62
285	38	6	2858	93
286	24	18	509	19
287	7	4	2260	60
288	23	7	1017	100
289	45	2	2800	70
290	12	2	1146	42
291	11	9	951	39
292	11	10	951	81
293	38	4	2858	4
294	51	17	1148	21
295	19	5	3205	34
296	51	1	1148	45
297	29	17	2793	11
298	31	15	3456	63
299	53	9	1617	26
300	38	9	2858	51
301	36	7	2932	35
302	37	6	3008	21
303	35	12	2245	1
304	13	3	1757	43
305	45	11	2800	88
306	32	9	1376	50
307	20	3	2821	18
308	30	5	1120	80
309	22	9	1196	86
310	46	11	755	95
311	35	15	2245	64
312	11	6	951	33
313	33	4	2272	7
314	46	8	755	57
315	13	4	1757	100
316	8	13	3054	8
317	34	7	327	15
318	17	8	1991	30
319	16	5	2693	22
320	18	11	3392	66
321	5	15	2558	80
322	39	2	2889	32
323	15	11	1223	89
324	41	16	306	66
325	3	1	879	60
326	25	11	2775	67
327	29	4	2793	65
328	1	15	3146	44
329	30	9	1120	17
330	1	12	3146	8
331	39	19	2889	20
332	8	5	3054	71
333	33	3	2272	9
334	52	6	671	14
335	44	6	914	4
336	39	14	2889	8
337	5	13	2558	17
338	21	8	3391	98
339	30	11	1120	15
340	28	17	218	78
341	54	19	206	50
342	51	8	1148	47
343	13	20	1757	43
344	12	4	1146	42
345	30	12	1120	11
346	19	1	3205	82
347	27	17	2680	13
348	44	14	914	19
349	9	18	2961	36
350	45	8	2800	80
351	27	16	2680	46
352	48	15	3178	3
353	4	10	2232	57
354	5	20	2558	68
355	13	7	1757	39
356	39	3	2889	86
357	14	19	1283	8
358	46	6	755	85
359	29	8	2793	26
360	5	9	2558	32
361	13	8	1757	53
362	21	16	3391	17
363	35	14	2245	61
364	26	4	1675	21
365	9	20	2961	15
366	54	3	206	53
367	32	4	1376	16
368	13	9	1757	18
369	9	7	2961	22
370	26	16	1675	25
371	21	6	3391	65
372	41	20	306	95
373	9	19	2961	58
374	46	19	755	12
375	17	19	1991	41
376	43	6	291	75
377	14	19	1283	42
378	41	7	306	87
379	34	14	327	76
380	13	12	1757	78
381	38	19	2858	80
382	10	15	1168	39
383	29	18	2793	5
384	5	7	2558	57
385	39	11	2889	7
386	20	8	2821	11
387	31	14	3456	97
388	47	9	1492	75
389	48	12	3178	82
390	20	6	2821	97
391	39	7	2889	4
392	53	14	1617	39
393	36	9	2932	65
394	23	18	1017	90
395	18	2	3392	88
396	24	11	509	19
397	38	5	2858	89
398	11	19	951	36
399	27	3	2680	22
400	9	14	2961	38
401	26	14	1675	24
402	11	20	951	4
403	36	3	2932	45
404	6	9	3107	28
405	54	18	206	49
406	5	3	2558	79
407	2	17	3022	81
408	28	4	218	67
409	7	19	2260	6
410	40	2	3234	50
411	32	1	1376	73
412	35	15	2245	43
413	52	6	671	23
414	1	11	3146	34
415	40	18	3234	17
416	51	19	1148	79
417	4	1	2232	83
418	21	9	3391	44
419	38	20	2858	22
420	48	16	3178	25
421	7	8	2260	33
422	29	3	2793	100
423	48	16	3178	93
424	28	3	218	26
425	42	19	1271	66
426	39	13	2889	12
427	1	10	3146	28
428	32	3	1376	55
429	2	15	3022	85
430	18	2	3392	63
431	14	3	1283	10
432	53	2	1617	85
433	31	11	3456	70
434	53	17	1617	24
435	38	8	2858	50
436	13	1	1757	58
437	3	6	879	51
438	33	12	2272	39
439	20	17	2821	83
440	50	14	1848	11
441	28	3	218	86
442	52	8	671	47
443	30	6	1120	34
444	46	7	755	85
445	46	19	755	58
446	52	19	671	60
447	26	8	1675	66
448	31	4	3456	40
449	23	18	1017	74
450	2	2	3022	44
451	28	5	218	13
452	30	15	1120	86
453	10	13	1168	62
454	4	13	2232	14
455	30	16	1120	34
456	5	12	2558	23
457	13	18	1757	41
458	41	11	306	88
459	42	9	1271	19
460	42	18	1271	81
461	14	13	1283	97
462	14	11	1283	16
463	24	15	509	19
464	39	6	2889	14
465	25	13	2775	17
466	21	15	3391	68
467	51	5	1148	30
468	33	16	2272	44
469	33	2	2272	98
470	40	1	3234	36
471	26	14	1675	28
472	37	13	3008	97
473	3	10	879	86
474	3	8	879	61
475	29	16	2793	86
476	12	17	1146	5
477	8	12	3054	62
478	54	18	206	34
479	18	15	3392	22
480	9	19	2961	40
481	48	18	3178	35
482	1	3	3146	96
483	26	18	1675	31
484	12	13	1146	61
485	4	18	2232	92
486	40	18	3234	82
487	12	4	1146	46
488	17	12	1991	20
489	29	15	2793	45
490	45	14	2800	15
491	39	16	2889	18
492	18	14	3392	93
493	35	15	2245	6
494	22	20	1196	13
495	55	8	419	10
496	13	15	1757	94
497	32	3	1376	40
498	44	8	914	22
499	31	1	3456	27
500	24	9	509	95
