id	teruletid	novenyid	ev	termes
1	1	8	2000	15
2	1	4	2001	13
3	1	8	2002	6
4	1	10	2003	13
5	1	6	2004	14
6	1	10	2005	14
7	1	10	2006	7
8	1	8	2007	1
9	1	8	2008	6
10	1	1	2009	5
11	1	3	2010	3
12	1	1	2011	12
13	1	12	2012	9
14	1	12	2013	9
15	1	11	2014	6
16	1	3	2015	6
17	1	10	2016	15
18	1	2	2017	14
19	1	6	2018	4
20	1	10	2019	15
21	1	1	2020	5
22	1	9	2021	14
23	1	4	2022	7
24	2	4	2000	10
25	2	9	2001	5
26	2	11	2002	14
27	2	3	2003	13
28	2	13	2004	9
29	2	5	2005	1
30	2	8	2006	11
31	2	7	2007	1
32	2	9	2008	4
33	2	2	2009	8
34	2	4	2010	4
35	2	11	2011	11
36	2	8	2012	4
37	2	6	2013	5
38	2	13	2014	7
39	2	2	2015	10
40	2	4	2016	7
41	2	1	2017	12
42	2	6	2018	14
43	2	13	2019	8
44	2	6	2020	10
45	2	3	2021	2
46	2	12	2022	12
47	3	13	2000	13
48	3	1	2001	15
49	3	3	2002	11
50	3	8	2003	10
51	3	11	2004	10
52	3	2	2005	15
53	3	8	2006	7
54	3	13	2007	11
55	3	6	2008	13
56	3	11	2009	14
57	3	1	2010	9
58	3	12	2011	14
59	3	12	2012	4
60	3	1	2013	13
61	3	11	2014	10
62	3	7	2015	13
63	3	12	2016	7
64	3	11	2017	14
65	3	11	2018	9
66	3	1	2019	3
67	3	6	2020	9
68	3	10	2021	6
69	3	11	2022	15
70	4	2	2000	0
71	4	4	2001	13
72	4	11	2002	6
73	4	8	2003	4
74	4	8	2004	4
75	4	6	2005	6
76	4	11	2006	7
77	4	9	2007	9
78	4	1	2008	9
79	4	10	2009	9
80	4	4	2010	1
81	4	12	2011	2
82	4	13	2012	15
83	4	5	2013	8
84	4	10	2014	10
85	4	1	2015	6
86	4	4	2016	12
87	4	11	2017	4
88	4	3	2018	2
89	4	5	2019	8
90	4	3	2020	12
91	4	12	2021	11
92	4	4	2022	6
93	5	11	2000	4
94	5	2	2001	5
95	5	8	2002	3
96	5	6	2003	2
97	5	5	2004	12
98	5	3	2005	7
99	5	6	2006	5
100	5	9	2007	15
101	5	7	2008	8
102	5	7	2009	3
103	5	8	2010	10
104	5	1	2011	8
105	5	3	2012	0
106	5	2	2013	12
107	5	5	2014	4
108	5	12	2015	15
109	5	12	2016	3
110	5	9	2017	7
111	5	12	2018	13
112	5	2	2019	3
113	5	2	2020	13
114	5	9	2021	11
115	5	10	2022	11
116	6	2	2000	5
117	6	2	2001	6
118	6	11	2002	12
119	6	9	2003	1
120	6	4	2004	6
121	6	10	2005	4
122	6	2	2006	6
123	6	13	2007	13
124	6	7	2008	0
125	6	12	2009	13
126	6	9	2010	15
127	6	3	2011	15
128	6	8	2012	3
129	6	9	2013	3
130	6	9	2014	5
131	6	3	2015	5
132	6	9	2016	15
133	6	6	2017	8
134	6	13	2018	7
135	6	7	2019	5
136	6	6	2020	2
137	6	7	2021	0
138	6	3	2022	10
139	7	11	2000	0
140	7	1	2001	1
141	7	8	2002	13
142	7	6	2003	8
143	7	11	2004	12
144	7	6	2005	10
145	7	1	2006	4
146	7	6	2007	13
147	7	13	2008	0
148	7	5	2009	11
149	7	4	2010	14
150	7	3	2011	5
151	7	2	2012	3
152	7	12	2013	11
153	7	6	2014	11
154	7	1	2015	5
155	7	12	2016	7
156	7	6	2017	15
157	7	2	2018	5
158	7	3	2019	1
159	7	3	2020	0
160	7	13	2021	11
161	7	11	2022	0
162	8	10	2000	14
163	8	10	2001	9
164	8	10	2002	5
165	8	11	2003	3
166	8	6	2004	9
167	8	6	2005	12
168	8	13	2006	8
169	8	10	2007	11
170	8	11	2008	10
171	8	5	2009	10
172	8	11	2010	8
173	8	13	2011	9
174	8	6	2012	6
175	8	7	2013	3
176	8	7	2014	11
177	8	7	2015	9
178	8	5	2016	1
179	8	13	2017	12
180	8	9	2018	1
181	8	2	2019	1
