id	helyrajziszam	teruletha	gazdaid
1	130218	122	127
2	116052	375	19
3	691798	450	223
4	419475	367	175
5	927560	9	108
6	931245	215	94
7	272233	306	194
8	201956	329	46
9	872594	104	33
10	557399	353	98
11	660852	147	45
12	285171	143	102
13	983756	368	229
14	942061	367	82
15	537544	102	67
16	824682	248	130
17	590800	184	120
18	860424	144	197
19	520141	341	72
20	829729	222	66
21	187703	16	12
22	118164	18	124
23	588514	244	17
24	357785	343	122
25	102828	431	153
26	622024	382	64
27	732459	492	97
28	740857	23	57
29	459387	397	97
30	252921	32	234
31	604145	461	124
32	617584	6	249
33	948954	255	243
34	492518	151	147
35	671692	250	163
36	255397	291	248
37	572785	328	17
38	609390	497	61
39	849009	267	223
40	690411	205	86
41	369748	393	29
42	286382	50	124
43	558673	90	77
44	149503	174	236
45	408019	245	244
46	919762	63	50
47	430709	116	241
48	233448	258	205
49	528744	40	208
50	665696	283	148
51	564302	115	244
52	713506	379	74
53	643224	447	75
54	824580	38	88
55	386297	84	124
56	450272	65	116
57	140793	384	206
58	842863	143	221
59	643324	271	83
60	795371	218	31
61	956312	75	80
62	452432	31	166
63	268634	419	59
64	457767	94	13
65	593418	402	131
66	385502	95	175
67	691335	55	82
68	297765	178	137
69	942930	446	178
70	833994	157	13
71	874867	172	199
72	974441	48	217
73	399633	60	211
74	187420	114	161
75	691780	288	231
76	989369	78	81
77	698732	237	69
78	511198	35	125
79	571920	14	83
80	988274	409	38
81	903278	253	134
82	558291	383	205
83	622604	86	142
84	597381	145	250
85	203943	317	63
86	186657	67	157
87	772082	27	193
88	864188	471	139
89	491091	109	172
90	709230	60	27
91	572565	247	173
92	472576	199	197
93	139089	188	40
94	879311	473	232
95	822874	179	83
96	501658	301	129
97	418735	53	71
98	778506	416	37
99	973039	130	143
100	379270	97	136
101	434461	384	165
102	682533	449	40
103	264175	376	248
104	767692	298	44
105	857750	87	59
106	737425	40	178
107	922025	478	22
108	446474	170	230
109	867439	220	133
110	271029	320	15
111	193917	458	122
112	624265	201	127
113	341223	471	229
114	703483	319	49
115	788496	120	118
116	588620	296	55
117	137767	401	233
118	969495	15	86
119	698198	88	68
120	548804	119	84
121	292397	371	53
122	472107	171	162
123	171009	360	103
124	444449	197	235
125	821666	249	196
126	900170	326	86
127	226247	71	210
128	612267	444	177
129	101905	47	4
130	777896	459	128
131	865172	203	125
132	302639	102	55
133	182909	221	170
134	667699	309	77
135	866377	91	196
136	552317	265	159
137	494403	71	132
138	410383	175	219
139	473511	259	81
140	608328	422	197
141	785669	76	213
142	420535	129	227
143	985074	13	52
144	716135	136	114
145	356760	351	155
146	109823	79	145
147	219983	461	127
148	188458	20	241
149	272707	498	216
150	917933	426	54
151	305631	292	76
152	473594	437	88
153	855261	247	107
154	115906	305	35
155	886926	435	89
156	285952	47	245
157	623019	461	119
158	136555	370	69
159	645759	417	170
160	820026	405	76
161	218322	161	77
162	775336	310	89
163	988299	109	237
164	218814	137	138
165	409599	17	102
166	794783	385	147
167	855613	65	100
168	638396	288	149
169	610377	478	217
170	577393	224	151
171	688098	199	78
172	177169	147	208
173	464003	248	23
174	846356	55	131
175	980238	312	140
176	466346	455	51
177	116742	15	142
178	387232	497	217
179	167015	488	56
180	809831	89	191
181	469854	283	227
182	372454	147	165
183	329389	135	1
184	507452	360	17
185	784787	483	20
186	268801	315	88
187	595761	104	141
188	976078	240	248
189	305838	147	164
190	894534	318	207
191	438977	356	207
192	357469	361	72
193	564732	399	133
194	182868	486	197
195	526096	23	145
196	721693	127	212
197	395852	277	7
198	714777	444	193
199	100332	229	211
200	128232	98	150
201	403451	475	232
202	971448	374	153
203	608114	184	102
204	124665	352	146
205	247253	115	19
206	868064	273	4
207	194824	124	153
208	942589	457	194
209	679728	490	163
210	288713	226	137
211	250890	325	173
212	287805	164	125
213	928169	274	244
214	852279	411	87
215	993948	317	235
216	737265	264	54
217	748870	145	152
218	665966	252	246
219	740898	79	164
220	554266	259	210
221	221482	455	117
222	935012	375	156
223	922125	490	96
224	477585	475	190
225	761886	425	171
226	628804	27	133
227	359857	269	44
228	475524	455	40
229	947924	50	240
230	479384	176	57
231	673910	395	153
232	425388	102	130
233	101994	387	192
234	435829	69	231
235	877735	472	231
236	840897	204	154
237	767755	182	24
238	744241	117	118
239	851391	316	58
240	776092	191	177
241	157766	10	65
242	703874	259	129
243	519555	159	75
244	626644	391	192
245	591480	160	80
246	504713	375	30
247	363076	204	239
248	789002	180	75
249	502439	375	82
250	733862	276	27
251	812420	22	30
252	711892	335	69
253	134072	193	107
254	115289	180	125
255	867073	167	160
256	743369	17	52
257	408373	486	209
258	647779	277	36
259	923941	246	60
260	851756	267	140
261	107516	480	228
262	994436	29	131
263	509142	466	190
264	831872	230	3
265	303940	274	162
266	821846	451	180
267	230752	19	234
268	221545	87	93
269	101313	143	192
270	587498	298	50
271	793851	439	76
272	210313	452	237
273	357702	457	39
274	456223	230	82
275	451842	210	141
276	412458	412	153
277	772522	12	38
278	965988	267	3
279	745192	124	245
280	506451	290	90
281	373144	326	49
282	108600	180	132
283	601280	14	221
284	679490	359	76
285	563135	339	160
286	322793	285	24
287	762403	186	20
288	852354	287	187
289	143501	123	175
290	395579	108	224
291	807704	62	185
292	756907	116	32
293	202039	255	119
294	187736	486	87
295	205091	110	106
296	990856	85	25
297	259944	195	187
298	531630	84	127
299	505239	431	163
300	847174	442	250
301	860870	428	29
302	896450	182	111
303	393846	64	37
304	321954	303	2
305	562409	63	216
306	895697	87	17
307	229368	44	40
308	666237	372	29
309	559824	234	182
310	314536	371	226
311	654008	187	164
312	281693	432	61
313	606260	77	186
314	939898	274	78
315	776411	236	197
316	706245	18	175
317	843566	131	32
318	196315	321	165
319	391522	231	217
320	116018	85	192
321	393974	154	236
322	854543	362	154
323	460163	479	103
324	813448	406	5
325	962679	291	165
326	154565	111	153
327	394269	211	68
328	898910	79	68
329	591097	290	62
330	432704	179	136
331	578470	346	27
332	222026	435	241
333	566527	41	199
334	861233	452	86
335	846707	361	139
336	192730	178	49
337	395076	207	247
338	244673	174	140
339	475916	393	6
340	224233	449	236
341	648895	473	113
342	973341	442	176
343	542677	381	208
344	979604	148	100
345	790739	183	192
346	946124	144	178
347	776377	251	124
348	248382	350	147
349	635108	334	46
350	507598	39	208
351	430406	217	54
352	494113	442	44
353	620739	380	91
354	659805	105	49
355	892613	289	122
