id	targyid	tanarid	mettol	meddig
1	5	10	2006	2012
2	13	45	2004	2021
3	2	23	1993	2008
4	11	102	2008	2021
5	2	31	2008	2021
6	5	54	1995	2003
7	3	66	1993	2017
8	6	106	2015	NULL
9	5	140	1993	2001
10	9	87	1997	2018
11	10	145	2011	2020
12	4	125	2015	2021
13	6	4	2017	2019
14	4	117	2017	NULL
15	10	86	2019	NULL
16	8	136	2002	2020
17	2	133	2001	2021
18	10	146	1995	2002
19	11	19	2006	2010
20	11	101	1999	NULL
21	6	33	2015	2016
22	12	74	2000	2014
23	2	38	2017	2021
24	4	64	2004	NULL
25	9	75	1994	2016
26	7	43	2012	2021
27	6	139	2016	2017
28	10	72	1997	2010
29	3	78	1998	2011
30	12	96	2009	2010
31	6	17	2021	NULL
32	12	150	2006	2020
33	9	100	2010	2018
34	7	56	2003	2011
35	3	40	2021	NULL
36	4	88	2012	2014
37	11	70	2004	2011
38	10	24	1992	2016
39	13	82	2000	2020
40	10	2	2022	NULL
41	8	41	2011	2015
42	13	39	1990	1996
43	8	118	2022	NULL
44	1	37	2008	2019
45	6	60	2005	2017
46	3	111	2011	2014
47	8	34	2019	2020
48	3	6	2003	2020
49	5	131	1999	2019
50	1	81	1994	1999
51	7	11	1996	1998
52	3	58	1992	2019
53	9	132	2013	2016
54	2	13	1994	2012
55	9	79	2004	2006
56	10	26	2001	2019
57	4	149	2000	2013
58	5	27	2001	2003
59	9	16	2022	NULL
60	3	84	1992	2005
61	9	65	2014	2019
62	11	68	2019	2020
63	3	123	2015	2017
64	4	5	2015	2018
65	5	110	1990	2021
66	5	94	2004	2018
67	4	42	2007	2019
68	12	83	2011	2014
69	4	61	2005	2007
70	6	128	2000	2010
71	7	137	1997	1999
72	3	28	1999	NULL
73	13	112	2016	NULL
74	1	22	1996	2003
75	10	130	2015	NULL
76	11	104	2015	2019
77	7	12	2011	2018
78	11	138	2007	2015
79	2	36	1998	1999
80	10	99	2014	2020
81	2	142	2019	2021
82	7	105	2004	2019
83	7	51	2011	2017
84	5	103	1995	2001
85	7	93	2016	NULL
86	5	49	2021	NULL
87	5	3	1995	2016
88	8	71	1991	2003
89	1	32	2016	NULL
90	12	46	2005	2018
91	2	7	1998	2010
92	3	95	2012	2021
93	12	9	2009	2016
94	8	126	2007	2014
95	5	134	1997	NULL
96	3	92	2016	2018
97	8	107	2022	NULL
98	7	21	2017	NULL
99	12	120	2004	2021
100	4	29	2010	2014
101	2	147	2011	2016
102	3	108	1993	2001
103	2	121	2016	NULL
104	12	80	2021	NULL
105	9	116	1990	NULL
106	2	143	1993	2019
107	12	35	1996	2019
108	10	135	2016	2020
109	3	67	1994	2020
110	13	62	2011	2012
111	9	91	2004	2016
112	10	25	2002	2011
113	2	8	2009	2016
114	10	52	2007	2018
115	2	48	2000	2010
116	6	122	2000	2007
117	8	73	2004	2016
118	13	59	1990	2016
119	7	50	2001	2018
120	2	20	2006	2018
121	9	89	1994	2013
122	5	77	1996	2017
123	8	85	2021	NULL
124	8	90	2017	2021
125	2	44	2013	NULL
126	9	69	1998	2007
127	3	141	2002	2003
128	8	98	1993	2005
129	7	53	2008	2010
130	11	124	2009	2012
131	11	144	1992	2005
132	6	115	2001	2007
133	8	127	2011	2012
134	7	47	2003	2013
135	6	63	2005	2011
136	9	97	2020	2021
137	13	14	2014	2021
138	2	148	1990	2019
139	1	30	1994	2014
140	8	114	1997	2014
141	3	129	1998	2007
142	1	113	2001	2012
143	6	119	2008	2014
144	11	15	2008	NULL
145	2	109	1991	2013
146	7	1	2002	2003
147	3	76	2021	NULL
148	13	18	1992	2003
149	11	57	2005	2007
150	8	55	2010	2019
