chipszam	nev	fajtaid	tulajid	nem
8316637	Pamacs	17	85	nőstény
2330967	Holy	13	74	kan
4829815	Néró	2	58	nőstény
6462345	Szikra	12	55	nőstény
5038144	Pamacs	3	55	nőstény
2781174	Mazsola	9	69	kan
7474414	Füge	5	83	kan
7688700	Kefír	10	27	nőstény
6713253	Pityu	10	77	kan
5067138	Mogyi	12	48	nőstény
1615798	Mancs	7	85	nőstény
4617096	Fahéj	7	32	nőstény
5255373	Maxi	2	19	kan
6921234	Picur	16	47	nőstény
7475823	Radar	1	30	nőstény
9378470	Mogyi	9	48	kan
1419413	Fürge	10	12	kan
8444291	Alma	8	31	nőstény
7086033	Mackó	15	50	nőstény
4024137	Mancs	11	32	nőstény
4662753	Happy	17	58	nőstény
5036842	Mackó	3	69	nőstény
5057027	Maggie	6	84	nőstény
7378657	Max	5	74	nőstény
8165308	Pamacs	12	67	kan
6465384	Cézár	12	77	nőstény
9844735	Lexi	18	57	kan
6427285	Szikra	4	18	kan
9376834	Szimat	2	80	kan
7079790	Vacak	14	57	kan
8321516	Mancs	1	98	nőstény
6093747	Lexi	9	48	kan
2093745	Joker	18	44	kan
8001643	Vacak	11	98	kan
1083555	Mancs	17	28	kan
8901232	Pityu	1	37	nőstény
6610189	Mackó	11	38	nőstény
5471868	Zsömle	15	47	kan
5410972	Szikra	2	58	nőstény
8625962	Süni	12	76	nőstény
7618041	Balu	14	3	nőstény
6868802	Apacs	15	94	kan
4362747	Happy	1	73	nőstény
5474855	Negro	3	76	kan
6350924	Balu	18	21	nőstény
4782939	Guszti	5	27	kan
8292834	Kifli	5	12	kan
5717075	Kása	8	90	nőstény
7798594	Tom	10	9	kan
9131983	Szikra	10	73	kan
6206590	Csibész	4	23	kan
6790146	Mogyi	2	58	kan
7733895	Hógolyó	4	86	kan
1284117	Fürge	2	34	kan
9623112	Mogyi	9	12	nőstény
2889840	Picur	2	27	nőstény
8394756	Zuma	16	66	nőstény
3790383	Morzsi	7	82	nőstény
5901113	Dumás	8	55	nőstény
4202988	Pityu	5	14	kan
9869772	Zselé	18	43	nőstény
3371223	Luna	15	96	kan
7154650	Balu	1	58	nőstény
4435343	Néró	12	5	nőstény
6502988	Happy	4	98	kan
3421083	Luna	8	19	kan
9611772	Mackó	5	92	kan
5239356	Lili	13	69	kan
7489956	Joker	11	8	kan
4128248	Süni	6	35	kan
1553682	Borzas	11	92	nőstény
7875361	Lili	16	85	nőstény
7417043	Maci	7	54	kan
9882719	Bodri	6	85	kan
1724873	Luna	1	25	kan
5424802	Borzas	4	66	nőstény
8309278	Kifli	16	11	kan
8758350	Zselé	2	26	kan
5697700	Borzas	15	50	kan
1000025	Happy	8	12	kan
3431251	Kuruc	14	23	nőstény
6694138	Maxi	11	1	kan
3966811	Héra	6	26	nőstény
8338164	Zselé	15	67	nőstény
6554053	Zsömle	18	83	kan
6081554	Luna	18	61	nőstény
6226541	Szikra	8	75	nőstény
8358905	Süti	11	22	kan
5207770	Puszedli	14	78	kan
8809555	Füge	4	92	nőstény
7980355	Mancs	3	6	nőstény
5542752	Lexi	10	60	nőstény
3906395	Pamacs	12	97	nőstény
6826549	Tom	9	5	nőstény
9407758	Vadász	1	24	nőstény
8643404	Holy	2	14	kan
5078254	Körte	3	72	kan
2253756	Hógolyó	15	76	nőstény
6052833	Morzsi	7	72	nőstény
2149791	Luna	5	38	kan
6674691	Süni	16	57	kan
6058575	Mazsola	8	39	kan
4301796	Kása	12	45	nőstény
2653693	Körte	12	10	nőstény
6876636	Fahéj	13	45	kan
9432330	Zsömle	16	82	nőstény
5631503	Holló	12	3	kan
8037335	Zselé	6	33	nőstény
2094452	Picur	10	22	nőstény
5212757	Bella	13	5	nőstény
8125477	Guszti	10	95	kan
4632991	Max	3	59	kan
9505503	Néró	13	77	kan
6136316	Zsömi	16	45	nőstény
9624424	Cézár	7	99	kan
2500545	Balu	18	70	nőstény
5166858	Szimat	4	68	kan
8728369	Hopi	14	27	kan
8913913	Zselé	8	10	nőstény
7569878	Kása	4	80	kan
6455569	Kuruc	4	50	kan
6448439	Fahéj	5	73	kan
6890633	Néró	12	64	kan
6694701	Guszti	15	88	nőstény
2879512	Maci	18	72	nőstény
5217930	Apacs	4	71	kan
4871959	Pityu	12	12	kan
9078634	Kása	4	82	nőstény
4346140	Guszti	7	17	nőstény
2566738	Pityu	7	60	nőstény
7052368	Héra	12	36	nőstény
5650200	Zuma	5	81	nőstény
8934135	Körte	12	1	nőstény
5253782	Zsömi	4	10	nőstény
4501759	Tom	14	24	kan
3781135	Szotyi	14	63	nőstény
2950319	Mimi	14	1	nőstény
5121859	Vacak	12	66	kan
8716781	Dumás	2	86	kan
5904131	Balu	6	75	kan
9930435	Füge	9	3	nőstény
6025104	Balu	9	49	kan
4081992	Happy	4	16	nőstény
6678278	Csibész	4	56	nőstény
4831876	Hopi	5	42	nőstény
5947633	Héra	4	8	nőstény
3506291	Pamacs	17	32	nőstény
8595963	Szimat	9	11	nőstény
6347389	Vadász	16	87	kan
4094832	Vacak	1	1	nőstény
