id	versenyid	soforid	csapatid	helyezes	pont	korok
1	18	1	1	1	10	58
2	18	2	2	2	8	58
3	18	3	3	3	6	58
4	18	4	4	4	5	58
5	18	5	1	5	4	58
6	18	6	3	6	3	57
7	18	7	5	7	2	55
8	18	8	6	8	1	53
9	18	9	2	NULL	0	47
10	18	10	7	NULL	0	43
11	18	11	8	NULL	0	32
12	18	12	4	NULL	0	30
13	18	13	6	NULL	0	29
14	18	14	9	NULL	0	25
15	18	15	7	NULL	0	19
16	18	16	10	NULL	0	8
17	18	17	9	NULL	0	0
18	18	18	11	NULL	0	0
19	18	19	8	NULL	0	0
20	18	20	5	NULL	0	0
21	18	21	10	NULL	0	0
22	18	22	11	NULL	0	58
23	19	8	6	1	10	56
24	19	9	2	2	8	56
25	19	5	1	3	6	56
26	19	15	7	4	5	56
27	19	1	1	5	4	56
28	19	2	2	6	3	56
29	19	17	9	7	2	56
30	19	4	4	8	1	56
31	19	14	9	9	0	56
32	19	18	11	10	0	56
33	19	12	4	11	0	56
34	19	21	10	12	0	55
35	19	22	11	13	0	55
36	19	3	3	14	0	55
37	19	19	8	15	0	55
38	19	11	8	16	0	54
39	19	6	3	17	0	54
40	19	20	5	NULL	0	39
41	19	13	6	NULL	0	30
42	19	16	10	NULL	0	5
43	19	10	7	NULL	0	1
44	19	7	5	NULL	0	0
45	20	13	6	1	10	57
46	20	8	6	2	8	57
47	20	9	2	3	6	57
48	20	2	2	4	5	57
49	20	5	1	5	4	57
50	20	15	7	6	3	57
51	20	17	9	7	2	57
52	20	3	3	8	1	57
53	20	10	7	9	0	57
54	20	4	4	10	0	57
55	20	22	11	11	0	57
56	20	21	10	12	0	56
57	20	1	1	13	0	56
58	20	6	3	14	0	56
59	20	7	5	15	0	56
60	20	19	8	16	0	56
61	20	11	8	17	0	56
62	20	14	9	18	0	56
63	20	16	10	19	0	56
64	20	12	4	NULL	0	40
65	20	18	11	NULL	0	19
66	20	20	5	NULL	0	0
67	21	8	6	1	10	66
68	21	13	6	2	8	66
69	21	1	1	3	6	66
70	21	9	2	4	5	66
71	21	17	9	5	4	66
72	21	18	11	6	3	66
73	21	6	3	7	2	66
74	21	15	7	8	1	66
75	21	2	2	9	0	66
76	21	21	10	10	0	65
77	21	10	7	11	0	65
78	21	14	9	12	0	65
79	21	11	8	13	0	65
80	21	3	3	NULL	0	41
81	21	4	4	NULL	0	34
82	21	22	11	NULL	0	34
83	21	5	1	NULL	0	21
84	21	19	8	NULL	0	8
85	21	7	5	NULL	0	7
86	21	12	4	NULL	0	6
87	21	16	10	NULL	0	0
88	21	20	5	NULL	0	0
89	22	13	6	1	10	58
90	22	1	1	2	8	58
91	22	8	6	3	6	58
92	22	9	2	4	5	58
93	22	2	2	5	4	58
94	22	4	4	6	3	58
95	22	17	9	7	2	58
96	22	3	3	8	1	58
97	22	14	9	9	0	58
98	22	15	7	10	0	58
99	22	18	11	11	0	57
100	22	5	1	12	0	57
101	22	10	7	13	0	57
102	22	22	11	14	0	57
103	22	12	4	15	0	57
104	22	16	10	16	0	57
105	22	20	5	17	0	57
106	22	7	5	NULL	0	24
107	22	6	3	NULL	0	1
108	22	21	10	NULL	0	0
109	23	1	1	1	10	76
110	23	9	2	2	8	76
111	23	13	6	3	6	76
112	23	17	9	4	5	76
113	23	20	5	5	4	76
114	23	22	11	6	3	76
115	23	6	3	7	2	76
116	23	5	1	8	1	76
117	23	8	6	9	0	76
118	23	4	4	10	0	75
119	23	18	11	11	0	75
120	23	10	7	12	0	75
121	23	15	7	13	0	75
122	23	2	2	14	0	72
123	23	16	10	NULL	0	67
124	23	3	3	NULL	0	59
125	23	12	4	NULL	0	47
126	23	21	10	NULL	0	36
127	23	14	9	NULL	0	7
128	23	7	5	NULL	0	7
129	24	9	2	1	10	70
130	24	2	2	2	8	70
131	24	14	9	3	6	70
132	24	10	7	4	5	70
133	24	13	6	5	4	70
134	24	15	7	6	3	70
135	24	22	11	7	2	70
136	24	20	5	8	1	70
137	24	5	1	9	0	70
138	24	3	3	10	0	70
139	24	18	11	11	0	70
140	24	17	9	12	0	70
141	24	7	5	13	0	69
142	24	21	10	NULL	0	51
143	24	6	3	NULL	0	46
144	24	4	4	NULL	0	44
145	24	12	4	NULL	0	43
146	24	8	6	NULL	0	19
147	24	1	1	NULL	0	19
148	24	16	10	NULL	0	13
149	25	13	6	1	10	70
150	25	8	6	2	8	70
151	25	15	7	3	6	70
152	25	5	1	4	5	70
153	25	9	2	5	4	70
154	25	17	9	6	3	70
155	25	12	4	7	2	70
156	25	4	4	8	1	70
157	25	14	9	9	0	70
158	25	1	1	10	0	70
159	25	10	7	11	0	70
160	25	20	5	12	0	70
161	25	2	2	13	0	70
162	25	22	11	14	0	69
163	25	6	3	15	0	69
164	25	3	3	16	0	69
165	25	7	5	17	0	69
166	25	21	10	18	0	69
167	25	16	10	19	0	69
168	25	18	11	NULL	0	16
169	26	1	1	1	10	60
170	26	2	2	2	8	60
171	26	22	11	3	6	60
172	26	8	6	4	5	59
173	26	5	1	5	4	59
174	26	4	4	6	3	59
175	26	15	7	7	2	59
176	26	6	3	8	1	59
177	26	3	3	9	0	59
178	26	17	9	10	0	59
179	26	7	5	11	0	59
180	26	10	7	12	0	59
181	26	13	6	13	0	58
182	26	9	2	NULL	0	39
183	26	18	11	NULL	0	38
184	26	12	4	NULL	0	35
185	26	21	10	NULL	0	16
186	26	16	10	NULL	0	10
187	26	20	5	NULL	0	0
188	26	14	9	NULL	0	0
189	27	1	1	1	10	67
190	27	12	4	2	8	67
191	27	13	6	3	6	67
192	27	2	2	4	5	67
193	27	5	1	5	4	67
194	27	8	6	6	3	67
195	27	9	2	7	2	67
196	27	20	5	8	1	67
197	27	15	7	9	0	67
198	27	3	3	10	0	67
199	27	4	4	11	0	67
200	27	7	5	12	0	67
201	27	14	9	13	0	67
202	27	6	3	14	0	67
203	27	16	10	15	0	67
204	27	21	10	16	0	67
205	27	18	11	17	0	66
206	27	22	11	NULL	0	50
207	27	17	9	NULL	0	40
208	27	10	7	NULL	0	35
209	28	5	1	1	10	70
210	28	10	7	2	8	70
211	28	8	6	3	6	70
212	28	4	4	4	5	70
213	28	1	1	5	4	70
214	28	12	4	6	3	70
215	28	15	7	7	2	70
216	28	9	2	8	1	70
217	28	17	9	9	0	70
218	28	2	2	10	0	70
