id	nev	hely	orszag
1	"Albert Park Grand Prix Circuit"	"Melbourne"	"Australia"
2	"Sepang International Circuit"	"Kuala Lumpur"	"Malaysia"
3	"Bahrain International Circuit"	"Sakhir"	"Bahrain"
4	"Circuit de Barcelona-Catalunya"	"Montmelo"	"Spain"
5	"Istanbul Park"	"Istanbul"	"Turkey"
6	"Circuit de Monaco"	"Monte-Carlo"	"Monaco"
7	"Circuit Gilles Villeneuve"	"Montreal"	"Canada"
8	"Circuit de Nevers Magny-Cours"	"Magny Cours"	"France"
9	"Silverstone Circuit"	"Silverstone"	"UK"
10	"Hockenheimring"	"Hockenheim"	"Germany"
11	"Hungaroring"	"Budapest"	"Hungary"
12	"Valencia Street Circuit"	"Valencia"	"Spain"
13	"Circuit de Spa-Francorchamps"	"Spa"	"Belgium"
14	"Autodromo Nazionale di Monza"	"Monza"	"Italy"
15	"Marina Bay Street Circuit"	"Marina Bay"	"Singapore"
16	"Fuji Speedway"	"Oyama"	"Japan"
17	"Shanghai International Circuit"	"Shanghai"	"China"
18	"Autodromo Jose Carlos Pace"	"Sao Paulo"	"Brazil"
19	"Indianapolis Motor Speedway"	"Indianapolis"	"USA"
20	"Nürburgring"	"Nürburg"	"Germany"
21	"Autodromo Enzo e Dino Ferrari"	"Imola"	"Italy"
22	"Suzuka Circuit"	"Suzuka"	"Japan"
80	"Las Vegas Strip Street Circuit"	"Las Vegas"	"United States"
24	"Yas Marina Circuit"	"Abu Dhabi"	"UAE"
25	"Autodromo Juan y Oscar Galvez"	"Buenos Aires"	"Argentina"
26	"Circuito de Jerez"	"Jerez de la Frontera"	"Spain"
27	"Autodromo do Estoril"	"Estoril"	"Portugal"
28	"Okayama International Circuit"	"Okayama"	"Japan"
29	"Adelaide Street Circuit"	"Adelaide"	"Australia"
30	"Kyalami"	"Midrand"	"South Africa"
31	"Donington Park"	"Castle Donington"	"UK"
32	"Autodromo Hermanos Rodriguez"	"Mexico City"	"Mexico"
33	"Phoenix street circuit"	"Phoenix"	"USA"
34	"Circuit Paul Ricard"	"Le Castellet"	"France"
35	"Korean International Circuit"	"Yeongam County"	"Korea"
36	"Autodromo Internacional Nelson Piquet"	"Rio de Janeiro"	"Brazil"
37	"Detroit Street Circuit"	"Detroit"	"USA"
38	"Brands Hatch"	"Kent"	"UK"
39	"Circuit Park Zandvoort"	"Zandvoort"	"Netherlands"
40	"Zolder"	"Heusden-Zolder"	"Belgium"
41	"Dijon-Prenois"	"Dijon"	"France"
42	"Fair Park"	"Dallas"	"USA"
43	"Long Beach"	"California"	"USA"
44	"Las Vegas Street Circuit"	"Nevada"	"USA"
45	"Jarama"	"Madrid"	"Spain"
46	"Watkins Glen"	"New York State"	"USA"
47	"Scandinavian Raceway"	"Anderstorp"	"Sweden"
48	"Mosport International Raceway"	"Ontario"	"Canada"
49	"Montjuac"	"Barcelona"	"Spain"
50	"Nivelles-Baulers"	"Brussels"	"Belgium"
51	"Charade Circuit"	"Clermont-Ferrand"	"France"
52	"Circuit Mont-Tremblant"	"Quebec"	"Canada"
53	"Rouen-Les-Essarts"	"Rouen"	"France"
54	"Le Mans"	"Le Mans"	"France"
55	"Reims-Gueux"	"Reims"	"France"
56	"Prince George Circuit"	"Eastern Cape Province"	"South Africa"
57	"Zeltweg"	"Styria"	"Austria"
58	"Aintree"	"Liverpool"	"UK"
59	"Circuito da Boavista"	"Oporto"	"Portugal"
60	"Riverside International Raceway"	"California"	"USA"
61	"AVUS"	"Berlin"	"Germany"
62	"Monsanto Park Circuit"	"Lisbon"	"Portugal"
63	"Sebring International Raceway"	"Florida"	"USA"
64	"Ain Diab"	"Casablanca"	"Morocco"
65	"Pescara Circuit"	"Pescara"	"Italy"
66	"Circuit Bremgarten"	"Bern"	"Switzerland"
67	"Circuit de Pedralbes"	"Barcelona"	"Spain"
68	"Buddh International Circuit"	"Uttar Pradesh"	"India"
69	"Circuit of the Americas"	"Austin"	"USA"
70	"Red Bull Ring"	"Spielberg"	"Austria"
71	"Sochi Autodrom"	"Sochi"	"Russia"
73	"Baku City Circuit"	"Baku"	"Azerbaijan"
75	"Autodromo Internacional do Algarve"	"Portimoo"	"Portugal"
76	"Autodromo Internazionale del Mugello"	"Mugello"	"Italy"
77	"Jeddah Corniche Circuit"	"Jeddah"	"Saudi Arabia"
78	"Losail International Circuit"	"Al Daayen"	"Qatar"
79	"Miami International Autodrome"	"Miami"	"USA"
