id	ev	hanyadik	palyaid	nev	datum	ido
1	2009	1	1	"Australian Grand Prix"	"2009-03-29"	"06:00:00"
2	2009	2	2	"Malaysian Grand Prix"	"2009-04-05"	"09:00:00"
3	2009	3	17	"Chinese Grand Prix"	"2009-04-19"	"07:00:00"
4	2009	4	3	"Bahrain Grand Prix"	"2009-04-26"	"12:00:00"
5	2009	5	4	"Spanish Grand Prix"	"2009-05-10"	"12:00:00"
6	2009	6	6	"Monaco Grand Prix"	"2009-05-24"	"12:00:00"
7	2009	7	5	"Turkish Grand Prix"	"2009-06-07"	"12:00:00"
8	2009	8	9	"British Grand Prix"	"2009-06-21"	"12:00:00"
9	2009	9	20	"German Grand Prix"	"2009-07-12"	"12:00:00"
10	2009	10	11	"Hungarian Grand Prix"	"2009-07-26"	"12:00:00"
11	2009	11	12	"European Grand Prix"	"2009-08-23"	"12:00:00"
12	2009	12	13	"Belgian Grand Prix"	"2009-08-30"	"12:00:00"
13	2009	13	14	"Italian Grand Prix"	"2009-09-13"	"12:00:00"
14	2009	14	15	"Singapore Grand Prix"	"2009-09-27"	"12:00:00"
15	2009	15	22	"Japanese Grand Prix"	"2009-10-04"	"05:00:00"
16	2009	16	18	"Brazilian Grand Prix"	"2009-10-18"	"16:00:00"
17	2009	17	24	"Abu Dhabi Grand Prix"	"2009-11-01"	"11:00:00"
18	2008	1	1	"Australian Grand Prix"	"2008-03-16"	"04:30:00"
19	2008	2	2	"Malaysian Grand Prix"	"2008-03-23"	"07:00:00"
20	2008	3	3	"Bahrain Grand Prix"	"2008-04-06"	"11:30:00"
21	2008	4	4	"Spanish Grand Prix"	"2008-04-27"	"12:00:00"
22	2008	5	5	"Turkish Grand Prix"	"2008-05-11"	"12:00:00"
23	2008	6	6	"Monaco Grand Prix"	"2008-05-25"	"12:00:00"
24	2008	7	7	"Canadian Grand Prix"	"2008-06-08"	"17:00:00"
25	2008	8	8	"French Grand Prix"	"2008-06-22"	"12:00:00"
26	2008	9	9	"British Grand Prix"	"2008-07-06"	"12:00:00"
27	2008	10	10	"German Grand Prix"	"2008-07-20"	"12:00:00"
28	2008	11	11	"Hungarian Grand Prix"	"2008-08-03"	"12:00:00"
29	2008	12	12	"European Grand Prix"	"2008-08-24"	"12:00:00"
30	2008	13	13	"Belgian Grand Prix"	"2008-09-07"	"12:00:00"
31	2008	14	14	"Italian Grand Prix"	"2008-09-14"	"12:00:00"
32	2008	15	15	"Singapore Grand Prix"	"2008-09-28"	"12:00:00"
33	2008	16	16	"Japanese Grand Prix"	"2008-10-12"	"04:30:00"
34	2008	17	17	"Chinese Grand Prix"	"2008-10-19"	"07:00:00"
35	2008	18	18	"Brazilian Grand Prix"	"2008-11-02"	"17:00:00"
36	2007	1	1	"Australian Grand Prix"	"2007-03-18"	"03:00:00"
37	2007	2	2	"Malaysian Grand Prix"	"2007-04-08"	"07:00:00"
38	2007	3	3	"Bahrain Grand Prix"	"2007-04-15"	"11:30:00"
39	2007	4	4	"Spanish Grand Prix"	"2007-05-13"	"12:00:00"
40	2007	5	6	"Monaco Grand Prix"	"2007-05-27"	"12:00:00"
41	2007	6	7	"Canadian Grand Prix"	"2007-06-10"	"17:00:00"
42	2007	7	19	"United States Grand Prix"	"2007-06-17"	"17:00:00"
43	2007	8	8	"French Grand Prix"	"2007-07-01"	"12:00:00"
44	2007	9	9	"British Grand Prix"	"2007-07-08"	"12:00:00"
45	2007	10	20	"European Grand Prix"	"2007-07-22"	"12:00:00"
46	2007	11	11	"Hungarian Grand Prix"	"2007-08-05"	"12:00:00"
47	2007	12	5	"Turkish Grand Prix"	"2007-08-26"	"12:00:00"
48	2007	13	14	"Italian Grand Prix"	"2007-09-09"	"12:00:00"
49	2007	14	13	"Belgian Grand Prix"	"2007-09-16"	"12:00:00"
50	2007	15	16	"Japanese Grand Prix"	"2007-09-30"	"04:30:00"
51	2007	16	17	"Chinese Grand Prix"	"2007-10-07"	"06:00:00"
52	2007	17	18	"Brazilian Grand Prix"	"2007-10-21"	"16:00:00"
53	2006	1	3	"Bahrain Grand Prix"	"2006-03-12"	"14:30:00"
54	2006	2	2	"Malaysian Grand Prix"	"2006-03-19"	"15:00:00"
55	2006	3	1	"Australian Grand Prix"	"2006-04-02"	"14:00:00"
56	2006	4	21	"San Marino Grand Prix"	"2006-04-23"	"14:00:00"
57	2006	5	20	"European Grand Prix"	"2006-05-07"	"14:00:00"
58	2006	6	4	"Spanish Grand Prix"	"2006-05-14"	"14:00:00"
59	2006	7	6	"Monaco Grand Prix"	"2006-05-28"	"14:00:00"
60	2006	8	9	"British Grand Prix"	"2006-06-11"	"12:00:00"
61	2006	9	7	"Canadian Grand Prix"	"2006-06-25"	"13:00:00"
62	2006	10	19	"United States Grand Prix"	"2006-07-02"	"14:00:00"
63	2006	11	8	"French Grand Prix"	"2006-07-16"	"14:00:00"
64	2006	12	10	"German Grand Prix"	"2006-07-30"	"14:00:00"
65	2006	13	11	"Hungarian Grand Prix"	"2006-08-06"	"14:00:00"
66	2006	14	5	"Turkish Grand Prix"	"2006-08-27"	"15:00:00"
67	2006	15	14	"Italian Grand Prix"	"2006-09-10"	"14:00:00"
68	2006	16	17	"Chinese Grand Prix"	"2006-10-01"	"14:00:00"
69	2006	17	22	"Japanese Grand Prix"	"2006-10-08"	"14:00:00"
70	2006	18	18	"Brazilian Grand Prix"	"2006-10-22"	"14:00:00"
71	2005	1	1	"Australian Grand Prix"	"2005-03-06"	"14:00:00"
72	2005	2	2	"Malaysian Grand Prix"	"2005-03-20"	"15:00:00"
73	2005	3	3	"Bahrain Grand Prix"	"2005-04-03"	"14:30:00"
74	2005	4	21	"San Marino Grand Prix"	"2005-04-24"	"14:00:00"
75	2005	5	4	"Spanish Grand Prix"	"2005-05-08"	"14:00:00"
76	2005	6	6	"Monaco Grand Prix"	"2005-05-22"	"14:00:00"
77	2005	7	20	"European Grand Prix"	"2005-05-29"	"14:00:00"
78	2005	8	7	"Canadian Grand Prix"	"2005-06-12"	"13:00:00"
79	2005	9	19	"United States Grand Prix"	"2005-06-19"	"14:00:00"
80	2005	10	8	"French Grand Prix"	"2005-07-03"	"14:00:00"
81	2005	11	9	"British Grand Prix"	"2005-07-10"	"14:00:00"
82	2005	12	10	"German Grand Prix"	"2005-07-24"	"14:00:00"
83	2005	13	11	"Hungarian Grand Prix"	"2005-07-31"	"14:00:00"
84	2005	14	5	"Turkish Grand Prix"	"2005-08-21"	"15:00:00"
85	2005	15	14	"Italian Grand Prix"	"2005-09-04"	"14:00:00"
86	2005	16	13	"Belgian Grand Prix"	"2005-09-11"	"14:00:00"
87	2005	17	18	"Brazilian Grand Prix"	"2005-09-25"	"14:00:00"
88	2005	18	22	"Japanese Grand Prix"	"2005-10-09"	"14:00:00"
89	2005	19	17	"Chinese Grand Prix"	"2005-10-16"	"14:00:00"
90	2004	1	1	"Australian Grand Prix"	"2004-03-07"	"\N"
91	2004	2	2	"Malaysian Grand Prix"	"2004-03-21"	"\N"
92	2004	3	3	"Bahrain Grand Prix"	"2004-04-04"	"\N"
93	2004	4	21	"San Marino Grand Prix"	"2004-04-25"	"\N"
94	2004	5	4	"Spanish Grand Prix"	"2004-05-09"	"\N"
95	2004	6	6	"Monaco Grand Prix"	"2004-05-23"	"\N"
