ora;perc;szin
0;0;Lila
0;1;Szürke
0;6;Barna
0;13;Kék
0;14;Arany
0;18;Szürke
0;31;Lila
0;40;Fehér
0;42;Rózsaszín
0;44;Kék
1;8;Piros
1;8;Sárga
1;29;Lila
1;30;Lila
1;31;Arany
1;49;Narancs
1;56;Kék
2;20;Arany
2;29;Sárga
2;31;Szürke
2;37;Narancs
2;55;Arany
2;57;Arany
2;60;Rózsaszín
3;2;Szürke
3;6;Lila
3;9;Lila
3;9;Rózsaszín
3;14;Barna
3;19;Piros
3;22;Fehér
3;25;Lila
3;28;Narancs
3;42;Szürke
3;51;Kék
3;56;Rózsaszín
4;10;Arany
4;11;Kék
4;18;Kék
4;18;Zöld
4;27;Arany
4;29;Narancs
4;32;Barna
4;52;Zöld
4;58;Rózsaszín
4;59;Szürke
5;21;Fehér
5;35;Barna
5;36;Narancs
5;42;Piros
5;42;Lila
5;47;Fehér
6;0;Lila
6;0;Rózsaszín
6;5;Kék
6;14;Barna
6;18;Kék
6;37;Sárga
6;41;Piros
6;42;Szürke
6;44;Fehér
6;52;Kék
7;16;Lila
7;24;Fekete
7;39;Fekete
7;49;Barna
8;28;Kék
8;30;Barna
8;32;Zöld
8;33;Kék
8;40;Zöld
9;4;Kék
9;30;Kék
9;36;Fehér
9;52;Narancs
9;52;Szürke
9;57;Szürke
10;0;Lila
10;4;Piros
10;9;Rózsaszín
10;18;Arany
10;29;Szürke
10;41;Rózsaszín
10;46;Kék
10;48;Szürke
10;49;Zöld
10;52;Szürke
10;53;Piros
10;55;Narancs
10;57;Barna
10;59;Szürke
10;60;Arany
11;3;Zöld
11;4;Szürke
11;9;Lila
11;11;Lila
11;17;Fehér
11;19;Arany
11;32;Arany
11;34;Szürke
11;54;Fehér
11;60;Zöld
12;6;Piros
12;20;Fehér
12;35;Lila
12;53;Szürke
13;1;Sárga
13;4;Narancs
13;11;Sárga
13;15;Kék
13;34;Szürke
13;39;Sárga
13;48;Narancs
13;58;Barna
14;13;Piros
14;24;Fehér
14;33;Barna
14;48;Szürke
14;52;Arany
15;2;Fehér
15;8;Szürke
15;19;Arany
15;26;Sárga
15;41;Szürke
15;45;Szürke
15;46;Szürke
15;57;Arany
15;60;Barna
16;9;Barna
16;35;Barna
17;15;Szürke
17;22;Kék
17;22;Kék
17;25;Szürke
17;30;Arany
17;34;Sárga
17;43;Arany
17;44;Fehér
17;45;Kék
18;6;Arany
18;9;Szürke
18;14;Lila
18;20;Piros
18;25;Lila
18;26;Lila
18;36;Kék
18;36;Kék
19;0;Piros
19;20;Narancs
19;25;Szürke
19;28;Sárga
19;35;Zöld
19;46;Piros
20;2;Narancs
20;6;Fehér
20;44;Szürke
20;48;Piros
20;55;Barna
21;0;Piros
21;4;Kék
21;16;Arany
21;20;Sárga
21;21;Arany
21;36;Rózsaszín
21;38;Szürke
21;42;Arany
21;56;Szürke
21;60;Piros
22;3;Kék
22;12;Piros
22;15;Rózsaszín
22;38;Sárga
22;45;Piros
22;46;Narancs
22;51;Arany
22;60;Lila
23;0;Kék
23;1;Lila
23;9;Szürke
23;25;Piros
23;33;Szürke
23;38;Kék
23;44;Piros
23;48;Fehér
24;5;Piros
24;6;Kék
24;14;Szürke
24;18;Piros
24;23;Zöld
24;25;Szürke
24;33;Narancs
24;34;Arany
24;36;Arany
24;46;Barna
24;51;Zöld
24;52;Kék
24;52;Fehér
24;53;Piros
24;57;Szürke
24;58;Piros
